I
1101 Version - data cycle 1812, build 20181210, metadata FixXP1101. NoCopyright (c) 2017 IVAO-AT

49.53633333	8.61966667	PFMEC		EDFM	ED
49.55400000	8.55400000	PFMKI		EDFM	ED
53.82466667	10.55100000	PHLWH		EDHL	ED
53.90200000	10.77166667	PHLNO		EDHL	ED
53.78433333	10.76666667	PHLS2		EDHL	ED
53.70300000	10.73533333	PHLS1		EDHL	ED
53.68433333	10.63333333	PHLLI		EDHL	ED
48.05800000	10.16966667	PJANO		EDJA	ED
47.90200000	10.26666667	PJASI		EDJA	ED
51.36666667	6.45333333	PLNK1		EDLN	ED
51.20900000	6.37566667	PLNWH		EDLN	ED
51.32366667	6.46766667	PLNK2		EDLN	ED
51.13933333	6.42066667	PLNRO		EDLN	ED
51.15400000	6.50500000	PLNGO		EDLN	ED
51.29033333	6.53633333	PLNMI		EDLN	ED
51.70000000	8.61666667	PLPEC		EDLP	ED
51.50600000	8.63633333	PLPW1		EDLP	ED
51.54133333	8.64133333	PLPW2		EDLP	ED
51.65200000	8.53733333	PLPNO		EDLP	ED
51.58533333	8.71966667	PLPSI		EDLP	ED
51.53833333	6.24133333	PLVSI		EDLV	ED
51.65300000	6.18333333	PLVNO		EDLV	ED
51.47266667	7.70700000	PLWEC		EDLW	ED
51.58733333	7.61666667	PLWNO		EDLW	ED
51.57466667	7.53733333	PLWWH		EDLW	ED
51.45100000	7.62366667	PLWSI		EDLW	ED
48.51833333	10.89500000	PMAN1		EDMA	ED
48.41766667	10.71966667	PMAW1		EDMA	ED
48.42166667	10.82000000	PMAW2		EDMA	ED
48.39333333	11.06666667	PMAS1		EDMA	ED
48.51333333	10.98333333	PMAO1		EDMA	ED
48.40500000	10.95333333	PMAS2		EDMA	ED
48.45333333	10.99166667	PMAO2		EDMA	ED
48.48333333	10.91166667	PMAN2		EDMA	ED
48.49000000	10.87666667	PMALI		EDMA	ED
48.01966667	11.40400000	PMOE1		EDMO	ED
48.05000000	11.33433333	PMOE2		EDMO	ED
48.08333333	11.15000000	PMOWH		EDMO	ED
47.74033333	9.55600000	PNYOS		EDNY	ED
47.67366667	9.38533333	PNYWH		EDNY	ED
47.71766667	9.40400000	PNYNO		EDNY	ED
47.60600000	9.58633333	PNYSI		EDNY	ED
53.48433333	11.75900000	POPNO		EDOP	ED
53.34233333	11.80000000	POPSI		EDOP	ED
50.36866667	11.78733333	PQMNO		EDQM	ED
50.37166667	11.93733333	PQMEC		EDQM	ED
50.20300000	11.77566667	PQMSI		EDQM	ED
50.19233333	11.92066667	PQMQU		EDQM	ED
49.28933333	7.31233333	PRZWH		EDRZ	ED
49.17066667	7.50850000	PRZOS		EDRZ	ED
48.69133333	8.10600000	PSBBR		EDSB	ED
48.70600000	7.95500000	PSBSI		EDSB	ED
48.74233333	8.16666667	PSBEC		EDSB	ED
48.83733333	8.22366667	PSBRO		EDSB	ED
48.86666667	8.05700000	PSBNO		EDSB	ED
48.82433333	8.00300000	PSBWH		EDSB	ED
48.29133333	7.70000000	PTLSI		EDTL	ED
48.43533333	7.76766667	PTLWH		EDTL	ED
48.33433333	7.91666667	PTLEC		EDTL	ED
48.41866667	7.99233333	PTLOS		EDTL	ED
52.34133333	10.53733333	PVEN2		EDVE	ED
52.33633333	10.35400000	PVEW1		EDVE	ED
52.31666667	10.48333333	PVEW2		EDVE	ED
52.30400000	10.38933333	PVEMI		EDVE	ED
52.22166667	10.42366667	PVESI		EDVE	ED
52.26766667	10.65400000	PVEE1		EDVE	ED
52.30500000	10.62466667	PVEE2		EDVE	ED
52.30400000	10.72466667	PVECH		EDVE	ED
52.38633333	10.58933333	PVEN1		EDVE	ED
51.37266667	9.18733333	PVKWH		EDVK	ED
51.50100000	9.30100000	PVKNO		EDVK	ED
51.32566667	9.57566667	PVKSI		EDVK	ED
51.50000000	9.54033333	PVKEC		EDVK	ED
53.58333333	8.05800000	PWINO		EDWI	ED
53.45000000	8.03433333	PWISI		EDWI	ED
55.05400000	8.37066667	PXWNO		EDXW	ED
54.87566667	8.25700000	PXWWH		EDXW	ED
55.01666667	8.45000000	PXWLI		EDXW	ED
54.88333333	8.50900000	PXWE2		EDXW	ED
54.88633333	8.62466667	PXWE1		EDXW	ED
54.83633333	8.31666667	PXWS2		EDXW	ED
54.74233333	8.31666667	PXWS1		EDXW	ED
54.73833333	8.25300000	PXWHO		EDXW	ED

;- DO NOT EDIT BELOW THIS LINE! --Start Impfix-ofmx-data: Generated: 2022-02-24 21:07:19:1645733239

Hier stehen die OFM-Daten

;- DO NOT EDIT ABOVE THIS LINE! --End Impfix-ofmx-data: Generated: 2022-02-24 21:07:19:1645733239
99
